,time,output,current
10196,31839.07151227468,3.6114132,-0.67952252
10197,31840.07151232217,3.6114132,-0.6796013799999999
10198,31841.07151236967,3.6112556,-0.67942395
10199,31842.07151241717,3.6112556,-0.6796013799999999
10200,31843.07151246467,3.6114132,-0.6798183
10201,31844.07151251216,3.6112556,-0.6795620099999999
10202,31845.07151255966,3.6110587,-0.6795422999999999
10203,31846.07151260716,3.611177,-0.67958167
10204,31847.07151265466,3.611177,-0.6796211499999999
10205,31848.07151270215,3.6109798,-0.67958167
10206,31849.07151274965,3.611177,-0.6796211499999999
10207,31850.07151279715,3.6108618,-0.6796211499999999
10208,31851.07151284465,3.6109405,-0.67970001
10209,31852.07151289214,3.6108618,-0.6795620099999999
10210,31853.07151293964,3.6107829,-0.67958167
10211,31854.07151298714,3.6107829,-0.67946344
10212,31855.07151303464,3.6109011,-0.67975909
10213,31856.07151308213,3.6107435,-0.6796211499999999
10214,31857.07151312963,3.6106253,-0.6795028099999999
10215,31858.07151317713,3.6107042,-0.6796211499999999
10216,31859.07151322463,3.6106646,-0.6795422999999999
10217,31860.07151327212,3.610507,-0.67968024
10218,31861.07151331962,3.610507,-0.6796013799999999
10219,31862.07151336712,3.6105466,-0.6796211499999999
10220,31863.07151341462,3.6105466,-0.6796211499999999
10221,31864.07151346211,3.610389,-0.6795620099999999
10222,31865.07151350961,3.6104283,-0.67966058
10223,31866.07151355711,3.6102707,-0.6795620099999999
10224,31867.07151360461,3.610389,-0.67966058
10225,31868.0715136521,3.6102314,-0.67966058
10226,31869.0715136996,3.6101525,-0.67968024
10227,31870.0715137471,3.6101525,-0.67966058
10228,31871.0715137946,3.6100738,-0.6795028099999999
10229,31872.07151384209,3.6099949,-0.67968024
10230,31873.07151388959,3.6099555,-0.6795422999999999
10231,31874.07151393709,3.6100738,-0.67952252
10232,31875.07151398459,3.6099162,-0.6796211499999999
10233,31876.07151403208,3.6098373,-0.67952252
10234,31877.07151407958,3.6103101,-0.67975909
10235,31878.07151412708,3.6097586,-0.67968024
10236,31879.07151417458,3.6098373,-0.6796013799999999
10237,31880.07151422207,3.6098766,-0.67958167
10238,31881.07151426957,3.6097586,-0.6795620099999999
10239,31882.07151431707,3.609798,-0.67958167
10240,31883.07151436456,3.6094828,-0.6794043000000001
10241,31884.07151441206,3.609601,-0.6795620099999999
10242,31885.07151445956,3.6096404,-0.67964087
10243,31886.07151450706,3.6094041,-0.6795620099999999
10244,31887.07151455455,3.6094434,-0.6795422999999999
10245,31888.07151460205,3.6094828,-0.67970001
10246,31889.07151464955,3.6094828,-0.6796211499999999
10247,31890.07151469705,3.6092465,-0.67948315
10248,31891.07151474454,3.6091676,-0.67952252
10249,31892.07151479204,3.6092069,-0.6795620099999999
10250,31893.07151483954,3.6094041,-0.67970001
10251,31894.07151488704,3.6091676,-0.6795422999999999
10252,31895.07151493453,3.6093252,-0.67958167
10253,31896.07151498203,3.6093252,-0.67970001
10254,31897.07151502953,3.6092069,-0.6796013799999999
10255,31898.07151507703,3.6090889,-0.67964087
10256,31899.07151512452,3.6090889,-0.67958167
10257,31900.07151517202,3.6088524,-0.67970001
10258,31901.07151521952,3.6089706,-0.67952252
10259,31902.07151526702,3.6088524,-0.67964087
10260,31903.07151531451,3.6089313,-0.6795620099999999
10261,31904.07151536201,3.6087737,-0.67958167
10262,31905.07151540951,3.6086161,-0.6796013799999999
10263,31906.07151545701,3.6087341,-0.67958167
10264,31907.0715155045,3.6088917,-0.6796013799999999
10265,31908.071515552,3.6087737,-0.67964087
10266,31909.0715155995,3.6085372,-0.6795028099999999
10267,31910.071515647,3.6084979,-0.6795620099999999
10268,31911.07151569449,3.6086948,-0.6795620099999999
10269,31912.07151574199,3.6084979,-0.67964087
10270,31913.07151578949,3.6083796,-0.6796211499999999
10271,31914.07151583699,3.6083796,-0.67958167
10272,31915.07151588448,3.6083403,-0.6796013799999999
10273,31916.07151593198,3.6084585,-0.67966058
10274,31917.07151597948,3.6083796,-0.67968024
10275,31918.07151602698,3.6082613,-0.6795422999999999
